Picture	Category	GendDiff	AmusMean	AmusSD	AweMean	AweSD	ContMean	ContSD	ExciMean	ExciSD
60234	AwCE		2.517	1.827	4.6	1.879	4.05	1.578	3.767	1.807
60240	AwCE		2.55	1.741	4.683	1.9	4.3	1.73	3.683	1.809
60241	AwCE		2.967	2.008	4.55	1.881	5.267	1.716	4.483	1.855
60253	U		3.417	1.951	4.05	1.961	3.583	1.759	3.3	1.778
60259	Aw		2.45	1.661	5	1.859	3.567	1.671	3.25	1.883
60262	Aw		2.283	1.485	4.717	1.905	3.65	1.706	3.083	1.71
60267	AwCE		3.15	1.981	5.683	1.49	4.917	1.71	4.317	1.873
60273	Am		4.517	1.642	3.617	1.905	3.383	1.648	3.683	1.742
60288	Aw		3.033	1.948	5.433	1.731	3.733	1.736	4.633	1.657
60303	U		2.133	1.546	3.267	1.93	3.483	1.9	2.7	1.862
60316	U		2.767	1.89	4.55	2.029	4.583	1.968	3.233	1.721
60324	AwC		2.15	1.471	5.133	1.78	4.3	1.788	3.85	1.812
60328	Aw		2.9	1.838	5.25	1.684	4.367	1.804	3.833	1.748
60335	Aw		2.783	1.914	4.85	1.802	3.667	1.782	4.333	1.753
93018	Am		4.767	1.934	2	1.235	3.25	1.772	2.833	1.617
93050	AmCE		3.233	2.142	2.417	1.576	3.667	1.684	3.75	1.901
93052	AmCE		3.217	2.14	2.067	1.471	3.267	1.867	2.8	1.793
93060	C		2.533	1.827	2.567	1.577	3.9	1.724	3.1	1.664
93098	CE		2.483	1.631	2.167	1.452	3.833	1.906	3.267	1.803
